Obs,Latitude,Longitude,july_min,jan_max,prec,evap,soil,wind
APE94090804,-34.3235,19.16133333,6.87,29.51,363.87,0.14,0.41,3.67
APE94090805,-34.32933333,19.16016667,6.87,29.51,363.87,0.14,0.41,3.67
APE94091102,-34.19816667,19.15483333,1.57,36.73,458.79,0.16,0.45,3.73
NGF94100301,-34.23916667,19.03766667,6.06,33.55,506.25,0.19,0.45,3.49
NGF94101502,-34.034,18.329,11.12,25.9,374.41,0.22,0.34,3.64
AGR94101002,-33.63333333,19.33283333,0.23,36.51,527.34,0.21,0.47,3.48
ASP94100801,-33.3315,21.292,0.3,39.56,374.41,0.05,0.41,4.09
ASP94100805,-33.33333333,21.29133333,0.3,39.56,374.41,0.05,0.41,4.09
ASP94102603,-33.56616667,19.20316667,0.23,36.51,527.34,0.21,0.47,3.48
ASP94102615,-33.66666667,19.25,0.23,36.51,527.34,0.21,0.47,3.48
ASP94121104,-33.62916667,19.108,0.23,36.51,527.34,0.21,0.47,3.48
SHR95092402,-34.32716667,21.521,10.11,26.65,200.39,0.02,0.31,4.6
SHS95102104,-33.89366667,21.72683333,4.23,35.73,305.86,0.03,0.41,4.22
AGR95102903,-34.31433333,18.9565,10.17,24.48,474.61,0.22,0.42,3.61
AGR95112501,-33.71266667,19.05483333,3.84,37.94,516.8,0.22,0.42,3.4
AGR95112504,-33.709,19.0645,0.23,36.51,527.34,0.21,0.47,3.48
AGR95112508,-33.695,19.07583333,0.23,36.51,527.34,0.21,0.47,3.48
AGR95112536,-33.63866667,19.108,0.23,36.51,527.34,0.21,0.47,3.48
AGR95112626,-33.55133333,19.1065,0.23,36.51,527.34,0.21,0.47,3.48
AGR95110802,-33.628,19.27416667,0.23,36.51,527.34,0.21,0.47,3.48
AGR95110808,-33.5725,19.27466667,0.23,36.51,527.34,0.21,0.47,3.48
AGR95111006,-34.1865,21.4435,2.65,37.4,326.95,0.03,0.41,4.69
DSM95110803,-33.627,19.269,0.23,36.51,527.34,0.21,0.47,3.48
AGR95122905,-34.44633333,20.54416667,8.98,29.13,237.3,0.02,0.37,4.33
BMJ96080401,-33.73916667,25.21916667,2.58,42.57,511.52,0.16,0.41,3.06
AGR96082108,-34.02433333,19.21383333,1.57,36.73,458.79,0.16,0.45,3.73
BMJ96082504,-33.785,24.31583333,6.64,35.12,427.15,0.16,0.44,2.84
BMJ96083101,-33.565,25.01416667,2.58,42.57,511.52,0.16,0.41,3.06
BMJ96083102,-33.56916667,25.00416667,2.58,42.57,511.52,0.16,0.41,3.06
MCG96082403,-33.59283333,24.3865,0.54,42.04,453.52,0.14,0.44,3.92
LYM96091501,-33.99316667,18.97416667,6.06,33.55,506.25,0.19,0.45,3.49
MCG96082404,-33.59633333,24.38166667,0.54,42.04,453.52,0.14,0.44,3.92
SHR96101303,-34.2095,18.44816667,6.06,33.55,506.25,0.19,0.45,3.49
AGR96111307,-34.0225,18.90316667,6.06,33.55,506.25,0.19,0.45,3.49
AGR96101203,-33.89233333,19.16,1.57,36.73,458.79,0.16,0.45,3.73
AGR96110712,-33.50233333,19.2175,0.23,36.51,527.34,0.21,0.47,3.48
STU96120401,-34.46433333,19.84283333,5.49,30.49,374.41,0.13,0.4,4.09
AGR96112706,-34.14466667,18.94183333,6.06,33.55,506.25,0.19,0.45,3.49
AGR96090505,-33.50133333,19.0775,0.23,36.51,527.34,0.21,0.47,3.48
AGR96090507,-33.48966667,19.04566667,3.84,37.94,516.8,0.22,0.42,3.4
GOE97012402,-33.736,21.89683333,0.71,40,390.23,0.05,0.45,3.94
STN97012404,-33.7365,21.893,0.71,40,390.23,0.05,0.45,3.94
SHR97051101,-33.36216667,22.06916667,0.71,40,390.23,0.05,0.45,3.94
AGR97081608,-34.66616667,19.5925,6.87,29.51,363.87,0.14,0.41,3.67
AGR97081712,-34.69316667,19.85616667,5.49,30.49,374.41,0.13,0.4,4.09
AGR97081303,-33.82933333,19.04083333,6.06,33.55,506.25,0.19,0.45,3.49
MCG97091408,-33.69733333,24.95383333,2.58,42.57,511.52,0.16,0.41,3.06
AGR97091105,-34.08783333,19.28283333,1.57,36.73,458.79,0.16,0.45,3.73
